project,description,version,developers,url,year,licenses,license urls,dependency
Guava ListenableFuture only,"An empty artifact that Guava depends on to signal that it is providing
    ListenableFuture -- but is also available in a second ""version"" that
    contains com.google.common.util.concurrent.ListenableFuture class, without
    any other Guava classes. The idea is:

    - If users want only ListenableFuture, they depend on listenablefuture-1.0.

    - If users want all of Guava, they depend on guava, which, as of Guava
    27.0, depends on
    listenablefuture-9999.0-empty-to-avoid-conflict-with-guava. The 9999.0-...
    version number is enough for some build systems (notably, Gradle) to select
    that empty artifact over the ""real"" listenablefuture-1.0 -- avoiding a
    conflict with the copy of ListenableFuture in guava itself. If users are
    using an older version of Guava or a build system other than Gradle, they
    may see class conflicts. If so, they can solve them by manually excluding
    the listenablefuture artifact or manually forcing their build systems to
    use 9999.0-....",9999.0-empty-to-avoid-conflict-with-guava,,,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava
Guava: Google Core Libraries for Java,"Guava is a suite of core and expanded libraries that include
    utility classes, Google's collections, I/O classes, and
    much more.",32.1.3-jre,,https://github.com/google/guava,,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.guava:guava:32.1.3-jre
Hibernate Validator Engine,"Hibernate's Jakarta Bean Validation reference implementation.",8.0.1.Final,,,,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.hibernate.validator:hibernate-validator:8.0.1.Final
Jakarta Annotations API,Jakarta Annotations API,2.1.1,"Linda De Michiel,Dmitry Kornilov",https://projects.eclipse.org/projects/ee4j.ca,2004,"EPL 2.0,GPL2 w/ CPE","http://www.eclipse.org/legal/epl-2.0,https://www.gnu.org/software/classpath/license.html",jakarta.annotation:jakarta.annotation-api:2.1.1
Jakarta Bean Validation API,Jakarta Bean Validation API,3.0.2,"Emmanuel Bernard,Emmanuel Bernard,Hardy Ferentschik,Gunnar Morling,Guillaume Smet",https://beanvalidation.org,2007,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,jakarta.validation:jakarta.validation-api:3.0.2
JBoss Logging 3,The JBoss Logging Framework,3.5.3.Final,,http://www.jboss.org,,Apache License 2.0,https://repository.jboss.org/licenses/apache-2.0.txt,org.jboss.logging:jboss-logging:3.5.3.Final
JLine Bundle,,3.23.0,,,,The BSD License,https://opensource.org/licenses/BSD-3-Clause,org.jline:jline:3.23.0
JUL to SLF4J bridge,JUL to SLF4J bridge,2.0.9,,http://www.slf4j.org,,MIT License,http://www.opensource.org/licenses/mit-license.php,org.slf4j:jul-to-slf4j:2.0.9
Logback Classic Module,logback-classic module,1.4.11,,,,"Eclipse Public License - v 1.0,GNU Lesser General Public License","http://www.eclipse.org/legal/epl-v10.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",ch.qos.logback:logback-classic:1.4.11
Logback Core Module,logback-core module,1.4.11,,,,"Eclipse Public License - v 1.0,GNU Lesser General Public License","http://www.eclipse.org/legal/epl-v10.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",ch.qos.logback:logback-core:1.4.11
LZ4 and xxHash,Java ports and bindings of the LZ4 compression algorithm and the xxHash hashing algorithm,1.8.0,"Adrien Grand,Rei Odaira",https://github.com/lz4/lz4-java,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.lz4:lz4-java:1.8.0
micrometer-commons,Module containing common code,1.11.5,Tommy Ludwig,https://github.com/micrometer-metrics/micrometer,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,io.micrometer:micrometer-commons:1.11.5
micrometer-observation,Module containing Observation related code,1.11.5,Tommy Ludwig,https://github.com/micrometer-metrics/micrometer,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,io.micrometer:micrometer-observation:1.11.5
SLF4J API Module,The slf4j API,2.0.9,,http://www.slf4j.org,,MIT License,http://www.opensource.org/licenses/mit-license.php,org.slf4j:slf4j-api:2.0.9
SnakeYAML,YAML 1.1 parser and emitter for Java,1.33,"Andrey Somov,Alexander Maslov",https://bitbucket.org/snakeyaml/snakeyaml,2008,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.yaml:snakeyaml:1.33
snappy-java,snappy-java: A fast compression/decompression library,1.1.8.4,Taro L. Saito,https://github.com/xerial/snappy-java,,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0.html,org.xerial.snappy:snappy-java:1.1.8.4
Spring AOP,Spring AOP,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-aop:6.0.13
Spring Beans,Spring Beans,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-beans:6.0.13
Spring Commons Logging Bridge,Spring Commons Logging Bridge,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-jcl:6.0.13
Spring Context,Spring Context,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-context:6.0.13
Spring Core,Spring Core,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-core:6.0.13
Spring Expression Language (SpEL),Spring Expression Language (SpEL),6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-expression:6.0.13
Spring Kafka Support,Spring Kafka Support,3.0.12,"Gary Russell,Artem Bilan",https://github.com/spring-projects/spring-kafka,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.springframework.kafka:spring-kafka:3.0.12
Spring Messaging,Spring Messaging,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-messaging:6.0.13
Spring Retry,"Spring Retry provides an abstraction around retrying failed operations, with an
		emphasis on declarative control of the process and policy-based behaviour that is
		easy to extend and customize. For instance, you can configure a plain POJO
		operation to retry if it fails, based on the type of exception, and with a fixed
		or exponential backoff.",${revision},Dave Syer,https://www.springsource.org,,Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,org.springframework.retry:spring-retry:${revision}
Spring Transaction,Spring Transaction,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-tx:6.0.13
spring-boot,Spring Boot,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot:3.1.5
spring-boot-autoconfigure,Spring Boot AutoConfigure,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-autoconfigure:3.1.5
spring-boot-starter,"Core starter, including auto-configuration support, logging and YAML",3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter:3.1.5
spring-boot-starter-logging,Starter for logging using Logback. Default logging starter,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-logging:3.1.5
spring-boot-starter-validation,Starter for using Java Bean Validation with Hibernate Validator,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-validation:3.1.5
spring-shell-autoconfigure,Spring Shell Autoconfigure,3.1.4,Pivotal,https://spring.io/projects/spring-shell,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.shell:spring-shell-autoconfigure:3.1.4
spring-shell-core,Spring Shell Core,3.1.4,Pivotal,https://spring.io/projects/spring-shell,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.shell:spring-shell-core:3.1.4
spring-shell-standard,Spring Shell Standard,3.1.4,Pivotal,https://spring.io/projects/spring-shell,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.shell:spring-shell-standard:3.1.4
spring-shell-standard-commands,Spring Shell Standard Commands,3.1.4,Pivotal,https://spring.io/projects/spring-shell,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.shell:spring-shell-standard-commands:3.1.4
spring-shell-starter,Spring Shell Starter,3.1.4,Pivotal,https://spring.io/projects/spring-shell,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.shell:spring-shell-starter:3.1.4
spring-shell-table,Spring Shell Table,3.1.4,Pivotal,https://spring.io/projects/spring-shell,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.shell:spring-shell-table:3.1.4
StringTemplate 4,"StringTemplate is a java template engine for generating source code,
		web pages, emails, or any other formatted text output.

		StringTemplate is particularly good at multi-targeted code generators,
		multiple site skins, and internationalization/localization.

		It evolved over years of effort developing jGuru.com.

		StringTemplate also powers the ANTLR 3 and 4 code generator. Its distinguishing characteristic
		is that unlike other engines, it strictly enforces model-view separation.

		Strict separation makes websites and code generators more flexible
		and maintainable; it also provides an excellent defense against malicious
		template authors.",4.3.1,,,,,,org.antlr:ST4:4.3.1
tomcat-embed-el,Core Tomcat implementation,10.1.15,,https://tomcat.apache.org/,,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.apache.tomcat.embed:tomcat-embed-el:10.1.15
zstd-jni,JNI bindings for Zstd native library that provides fast and high compression lossless algorithm for Java and all JVM languages.,1.5.2-1,Luben Karavelov,https://github.com/luben/zstd-jni,,BSD 2-Clause License,https://opensource.org/licenses/BSD-2-Clause,com.github.luben:zstd-jni:1.5.2-1
